dates,open,high,low,close,adjusted close,volume,dividend amount,tickers,id
2019-06-04,61.03,61.54,58.87,59.96,59.96,3733516,0,APPL,1
2019-06-03,61.77,62.1,60.13,60.54,60.54,7304564,0,APPL,2
2019-05-31,61.73,62.33,61.73,61.93,61.93,5698594,0,APPL,3
2019-05-30,61.94,62.9,61.75,62.36,62.36,5059753,0,APPL,4
2019-05-29,61.83,62.17,61.545,61.88,61.88,4540544,0,APPL,5
2019-05-28,62.14,62.66,61.88,62.07,62.07,6931011,0,APPL,6
2019-05-24,61.5,62.19,61.22,61.87,61.87,6435123,0,APPL,7
2019-05-23,60.96,61.7062,60.84,61.08,61.08,9080866,0,APPL,8
2019-05-22,60.61,62.19,60.61,61.5,61.5,9350162,0,APPL,9
2019-05-21,60.18,61.15,60.0205,61,61,9828682,0.2,APPL,10
2019-05-20,58.83,60.115,58.71,59.99,59.794,10899414,0,APPL,11
2019-05-17,58.01,59.5,57.81,59.44,59.2458,8199187,0,APPL,12
2019-05-16,58.46,58.985,58.23,58.64,58.4484,6956521,0,APPL,13
2019-05-15,57.55,58.765,57.43,58.6,58.4085,7812108,0,APPL,14
2019-05-14,57.12,58.3,56.97,57.75,57.5613,7946793,0,APPL,15
2019-05-13,58.02,58.17,56.73,56.88,56.6941,12267713,0,APPL,16
2019-05-10,58.56,59.32,58.28,59.13,58.9368,12089651,0,APPL,17
2019-05-09,58.27,59.275,58.005,59.1,58.9069,9168242,0,APPL,18
2019-05-08,58.48,59.11,58.07,58.98,58.7873,8371150,0,APPL,19
2019-05-07,59,59.1,57.47,58.51,58.3188,10533169,0,APPL,20
2019-05-06,58.56,60.19,58.02,59.6,59.4052,10181715,0,APPL,21
2019-05-03,60.09,61.5,57.7,59.25,59.0564,40551003,0,APPL,22
2019-05-02,72.19,72.97,65,66.61,66.3923,12472507,0,APPL,23
2019-05-01,73.35,73.38,72.15,72.18,71.9441,3151938,0,APPL,24
2019-04-30,72.43,73.05,72.29,72.96,72.7216,3057203,0,APPL,25
2019-04-29,71.15,72.855,71.15,72.4,72.1634,3450920,0,APPL,26
2019-04-26,73.07,73.43,72.64,73.37,73.1302,2216254,0,APPL,27
2019-04-25,72.72,73.11,72.3,72.93,72.6917,2459724,0,APPL,28
2019-04-24,72.98,73.5,72.09,72.67,72.4325,3045795,0,APPL,29
2019-04-23,71.77,73.05,71.545,72.85,72.6119,6282901,0,APPL,30
2019-04-22,70.95,71.54,70.37,71.48,71.2464,2046252,0,APPL,31
2019-04-18,72.27,72.27,70.555,71.34,71.1069,5469565,0,APPL,32
2019-04-17,72.17,72.43,71.75,72.15,71.9142,3025446,0,APPL,33
2019-04-16,73,73.174,71.58,71.9,71.665,4399497,0,APPL,34
2019-04-15,74.44,74.582,73.76,74.32,74.0771,1690423,0,APPL,35
2019-04-12,74.41,74.5,73.5542,74.29,74.0472,2499775,0,APPL,36
