3M,NYSE,MMM,Conglomerate,"3M Center, St. Paul, MN 55144-1000",45.03308,-93.09398
American Express,NYSE,AXP,Financial services,"200 Vesey Street, New York City, New York, USA",40.71393,-74.01465
Apple,NASDAQ,AAPL,Information technologies,"1 Apple Park Way, Cupertino, California, USA",37.332279,-122.010979
Boeing,NYSE,BA,Aerospace and defense,"100 N Riverside Plaza, Chicago, IL 60606, USA",41.883839,-87.638779
Caterpillar,NYSE,CAT,Construction and mining equipment,"510 Lake Cook Rd Suite 100, Deerfield, IL 60015, USA",42.15288,-87.8417
Chevron,NYSE,CVX,Oil & gas," 6001 Bollinger Canyon Rd. San Ramon, CA 94583",37.7587,-121.95905
Cisco Systems,NASDAQ,CSCO,Information technologies,"170 West Tasman Dr. San Jose, CA 95134. USA",37.4088,-121.95377
Coca-Cola,NYSE,KO,Food,"1 Coca Cola Plz NW, Atlanta, GA 30313",33.76939,-84.39713
Dow Inc.,NYSE,DOW,Chemical industry,"2211 H.H. Dow Way, Midland, MI 48674, USA",43.61278,-84.1974
ExxonMobil,NYSE,XOM,Oil & gas,"5959 Las Colinas Blvd, Irving, Texas, USA",32.89026,-96.94936
Goldman Sachs,NYSE,GS,Financial services,"200 West Street, Manhattan, New York City, New York, USA",40.71486,-74.0142
The Home Depot,NYSE,HD,Retail,"2455 Paces Ferry Rd NW, Atlanta Store Support Center, Cobb County, Georgia, USA",33.78513,-84.48057
IBM,NYSE,IBM,Information technologies,"2455 Paces Ferry Rd NW, Armonk, New York, USA",33.78513,-84.481567
Intel,NASDAQ,INTC,Information technologies,"2200 Mission College Blvd., Santa Clara, CA  95052, USA",37.3877,-121.9635
Johnson & Johnson,NYSE,JNJ,Pharmaceuticals,"1 Johnson And Johnson Plaza, New Brunswick, NJ 08901, USA",40.499519,-74.441811
JPMorgan Chase,NYSE,JPM,Financial services,"383 Madison Avenue, New York City, New York, USA",40.75584,-73.97688
McDonald's,NYSE,MCD,Food,"110 N Carpenter St, Chicago, IL 60607, USA",41.88333,-87.65362
Merck & Company,NYSE,MRK,Pharmaceuticals,"2000 Galloping Hill Road, Kenilworth, NJ 07033 U.S.A.",40.67858,-74.27373
Microsoft,NASDAQ,MSFT,Information technologies,"1 Microsoft Way, Redmond, WA 98052, USA",47.63962,122.13061
Nike,NYSE,NKE,Apparel,"1 Bowerman Dr, Beaverton, OR 97005, USA ",45.50699,-122.82505
Pfizer,NYSE,PFE,Pharmaceuticals,"235 E 42nd St, New York, NY 10017, USA",40.75042,-73.97249
Procter & Gamble,NYSE,PG,Consumer goods,"1 P&G Plaza, Cincinnati, OH 45202, USA",39.101952,-84.512932
Travelers,NYSE,TRV,Insurance,"1633 Broadway Floor 35 & 36, New York, NY 10019, USA",40.762,-73.98423
UnitedHealth Group,NYSE,UNH,Managed health care,"12700 Whitewater Dr, Minnetonka, MN 55343, USA",44.89848,-93.44393
United Technologies,NYSE,UTX,Conglomerate,"10 Farm Springs Rd, Farmington, CT 06032, USA",41.71257,-72.80445
Verizon,NYSE,VZ,Telecommunication,"1095 Avenue of the Americas, New York City, New York, USA",40.75475,-73.98501
Visa,NYSE,V,Financial services,"900 Metro Center Blvd, Foster City, CA 94404, USA",37.55933,-122.276131
Walmart,NYSE,WMT,Retail,"702 SW 8th St, Bentonville, AR 72712, USA",36.36573,-94.21758
Walgreens Boots Alliance,NASDAQ,WBA,Retail,"108 Wilmot Rd, Deerfield, IL 60015, USA",42.1555,-87.86885
Walt Disney,NYSE,DIS,Broadcasting and entertainment,"500 South Buena Vista Street, Burbank, California, USA",34.15682,-118.32501
Alphabet Inc (Google),NASDAQ,GOOGL,,"1600 Amphitheatre Pkwy, Mountain View, CA 94043, USA",37.423199,-122.084068
Facebook,NASDAQ,FB,,"1 Hacker Way, Menlo Park, CA 94025, USA",37.484928,-122.148201
Cognizant Technology Solutions Corp,NASDAQ,CTSH,,"500 Frank W Burr Blvd, Teaneck, NJ 07666, USA",40.872101,-74.00425
Tesla Inc,NASDAQ,TSLA,,"3500 Deer Creek Rd, Palo Alto, CA 94304, USA",37.39415,-122.150391
